year,quarter,date,newspapers,mood,detrending,val
1910,1,1910 Q1,all,negative,Hodrick-Prescott filter,99.56390510365057
1910,2,1910 Q2,all,negative,Hodrick-Prescott filter,99.58010947918261
1910,3,1910 Q3,all,negative,Hodrick-Prescott filter,99.74316660156717
1910,4,1910 Q4,all,negative,Hodrick-Prescott filter,100.063452515942
1911,1,1911 Q1,all,negative,Hodrick-Prescott filter,99.72361048640921
1911,2,1911 Q2,all,negative,Hodrick-Prescott filter,99.19165530010308
1911,3,1911 Q3,all,negative,Hodrick-Prescott filter,99.16482413955492
1911,4,1911 Q4,all,negative,Hodrick-Prescott filter,98.99158447227006
1912,1,1912 Q1,all,negative,Hodrick-Prescott filter,100.04249884687002
1912,2,1912 Q2,all,negative,Hodrick-Prescott filter,99.39242686223871
1912,3,1912 Q3,all,negative,Hodrick-Prescott filter,99.69215597747947
1912,4,1912 Q4,all,negative,Hodrick-Prescott filter,99.74985892191431
1913,1,1913 Q1,all,negative,Hodrick-Prescott filter,100.36112174714603
1913,2,1913 Q2,all,negative,Hodrick-Prescott filter,101.11240250805689
1913,3,1913 Q3,all,negative,Hodrick-Prescott filter,100.86424375613097
1913,4,1913 Q4,all,negative,Hodrick-Prescott filter,100.37325493018898
1914,1,1914 Q1,all,negative,Hodrick-Prescott filter,100.01641533356718
1914,2,1914 Q2,all,negative,Hodrick-Prescott filter,99.33445343894242
1914,3,1914 Q3,all,negative,Hodrick-Prescott filter,100.37366169160985
1914,4,1914 Q4,all,negative,Hodrick-Prescott filter,100.28844117530411
1915,1,1915 Q1,all,negative,Hodrick-Prescott filter,100.45096989021523
1915,2,1915 Q2,all,negative,Hodrick-Prescott filter,99.46760701911307
1915,3,1915 Q3,all,negative,Hodrick-Prescott filter,99.81263172646602
1915,4,1915 Q4,all,negative,Hodrick-Prescott filter,99.84634934866362
1916,1,1916 Q1,all,negative,Hodrick-Prescott filter,99.78162010318239
1916,2,1916 Q2,all,negative,Hodrick-Prescott filter,99.03030221632976
1916,3,1916 Q3,all,negative,Hodrick-Prescott filter,99.85494285269546
1916,4,1916 Q4,all,negative,Hodrick-Prescott filter,99.4640698008041
1917,1,1917 Q1,all,negative,Hodrick-Prescott filter,100.42782988152518
1917,2,1917 Q2,all,negative,Hodrick-Prescott filter,100.5599801167683
1917,3,1917 Q3,all,negative,Hodrick-Prescott filter,100.48349786768861
1917,4,1917 Q4,all,negative,Hodrick-Prescott filter,101.40722681504351
1918,1,1918 Q1,all,negative,Hodrick-Prescott filter,100.54052723167067
1918,2,1918 Q2,all,negative,Hodrick-Prescott filter,100.13787059938497
1918,3,1918 Q3,all,negative,Hodrick-Prescott filter,100.4327773779123
1918,4,1918 Q4,all,negative,Hodrick-Prescott filter,100.49892970157958
1919,1,1919 Q1,all,negative,Hodrick-Prescott filter,100.47018222026739
1919,2,1919 Q2,all,negative,Hodrick-Prescott filter,100.12072898821931
1919,3,1919 Q3,all,negative,Hodrick-Prescott filter,100.0470510023171
1919,4,1919 Q4,all,negative,Hodrick-Prescott filter,100.15590383901434
1920,1,1920 Q1,all,negative,Hodrick-Prescott filter,100.36946817833227
1920,2,1920 Q2,all,negative,Hodrick-Prescott filter,99.88464664717768
1920,3,1920 Q3,all,negative,Hodrick-Prescott filter,99.63188276874654
1920,4,1920 Q4,all,negative,Hodrick-Prescott filter,99.78500848713028
1921,1,1921 Q1,all,negative,Hodrick-Prescott filter,100.97251735003827
1921,2,1921 Q2,all,negative,Hodrick-Prescott filter,100.21485070676698
1921,3,1921 Q3,all,negative,Hodrick-Prescott filter,100.25343577108387
1921,4,1921 Q4,all,negative,Hodrick-Prescott filter,99.99622199522751
1922,1,1922 Q1,all,negative,Hodrick-Prescott filter,100.061424615694
1922,2,1922 Q2,all,negative,Hodrick-Prescott filter,100.12371657461553
1922,3,1922 Q3,all,negative,Hodrick-Prescott filter,100.66716102969035
1922,4,1922 Q4,all,negative,Hodrick-Prescott filter,99.9999760326721
1923,1,1923 Q1,all,negative,Hodrick-Prescott filter,100.26152668142271
1923,2,1923 Q2,all,negative,Hodrick-Prescott filter,99.35260759498959
1923,3,1923 Q3,all,negative,Hodrick-Prescott filter,99.48595285672943
1923,4,1923 Q4,all,negative,Hodrick-Prescott filter,99.19607989444361
1924,1,1924 Q1,all,negative,Hodrick-Prescott filter,99.45289082653036
1924,2,1924 Q2,all,negative,Hodrick-Prescott filter,98.68970629533061
1924,3,1924 Q3,all,negative,Hodrick-Prescott filter,99.03455934790185
1924,4,1924 Q4,all,negative,Hodrick-Prescott filter,99.34183073283077
1925,1,1925 Q1,all,negative,Hodrick-Prescott filter,99.71793590343394
1925,2,1925 Q2,all,negative,Hodrick-Prescott filter,99.73927179134085
1925,3,1925 Q3,all,negative,Hodrick-Prescott filter,100.4933377541141
1925,4,1925 Q4,all,negative,Hodrick-Prescott filter,100.60540079305751
1926,1,1926 Q1,all,negative,Hodrick-Prescott filter,100.74089724156936
1926,2,1926 Q2,all,negative,Hodrick-Prescott filter,100.26040294061767
1926,3,1926 Q3,all,negative,Hodrick-Prescott filter,100.1948620653356
1926,4,1926 Q4,all,negative,Hodrick-Prescott filter,99.53315400777232
1927,1,1927 Q1,all,negative,Hodrick-Prescott filter,99.6705745261581
1927,2,1927 Q2,all,negative,Hodrick-Prescott filter,99.10240037965258
1927,3,1927 Q3,all,negative,Hodrick-Prescott filter,98.81744288615577
1927,4,1927 Q4,all,negative,Hodrick-Prescott filter,99.18675521684926
1928,1,1928 Q1,all,negative,Hodrick-Prescott filter,99.48742838232675
1928,2,1928 Q2,all,negative,Hodrick-Prescott filter,99.1730722740033
1928,3,1928 Q3,all,negative,Hodrick-Prescott filter,99.4499689252667
1928,4,1928 Q4,all,negative,Hodrick-Prescott filter,99.44388139871225
1929,1,1929 Q1,all,negative,Hodrick-Prescott filter,100.37435338198954
1929,2,1929 Q2,all,negative,Hodrick-Prescott filter,100.36980120105018
1929,3,1929 Q3,all,negative,Hodrick-Prescott filter,100.72426200529199
1929,4,1929 Q4,all,negative,Hodrick-Prescott filter,101.49109292256931
1930,1,1930 Q1,all,negative,Hodrick-Prescott filter,100.1308215932848
1930,2,1930 Q2,all,negative,Hodrick-Prescott filter,100.59570847652495
1930,3,1930 Q3,all,negative,Hodrick-Prescott filter,100.5586671042388
1930,4,1930 Q4,all,negative,Hodrick-Prescott filter,100.68571217641811
1931,1,1931 Q1,all,negative,Hodrick-Prescott filter,100.80438168803745
1931,2,1931 Q2,all,negative,Hodrick-Prescott filter,101.00175476108927
1931,3,1931 Q3,all,negative,Hodrick-Prescott filter,102.26553922348316
1931,4,1931 Q4,all,negative,Hodrick-Prescott filter,101.84366914621788
1932,1,1932 Q1,all,negative,Hodrick-Prescott filter,102.6778796065881
1932,2,1932 Q2,all,negative,Hodrick-Prescott filter,102.68890860497025
1932,3,1932 Q3,all,negative,Hodrick-Prescott filter,102.23131529438004
1932,4,1932 Q4,all,negative,Hodrick-Prescott filter,103.97076674256203
1933,1,1933 Q1,all,negative,Hodrick-Prescott filter,104.35693223179362
1933,2,1933 Q2,all,negative,Hodrick-Prescott filter,102.9201482512933
1933,3,1933 Q3,all,negative,Hodrick-Prescott filter,101.62976113993851
1933,4,1933 Q4,all,negative,Hodrick-Prescott filter,101.9231167014536
1934,1,1934 Q1,all,negative,Hodrick-Prescott filter,101.86650351389423
1934,2,1934 Q2,all,negative,Hodrick-Prescott filter,101.79081806288312
1934,3,1934 Q3,all,negative,Hodrick-Prescott filter,100.67283332254145
1934,4,1934 Q4,all,negative,Hodrick-Prescott filter,100.38894276459548
1935,1,1935 Q1,all,negative,Hodrick-Prescott filter,101.35151918101563
1935,2,1935 Q2,all,negative,Hodrick-Prescott filter,100.29886214638707
1935,3,1935 Q3,all,negative,Hodrick-Prescott filter,100.13314166262535
1935,4,1935 Q4,all,negative,Hodrick-Prescott filter,100.82915150098032
1936,1,1936 Q1,all,negative,Hodrick-Prescott filter,100.82679945935494
1936,2,1936 Q2,all,negative,Hodrick-Prescott filter,100.26781489033536
1936,3,1936 Q3,all,negative,Hodrick-Prescott filter,99.81014823597822
1936,4,1936 Q4,all,negative,Hodrick-Prescott filter,99.19444825529571
1937,1,1937 Q1,all,negative,Hodrick-Prescott filter,99.78340889004035
1937,2,1937 Q2,all,negative,Hodrick-Prescott filter,100.00281274632815
1937,3,1937 Q3,all,negative,Hodrick-Prescott filter,99.96962760049908
1937,4,1937 Q4,all,negative,Hodrick-Prescott filter,100.0287149042848
1938,1,1938 Q1,all,negative,Hodrick-Prescott filter,101.31385615093394
1938,2,1938 Q2,all,negative,Hodrick-Prescott filter,100.77417951084607
1938,3,1938 Q3,all,negative,Hodrick-Prescott filter,100.33532743311677
1938,4,1938 Q4,all,negative,Hodrick-Prescott filter,99.87100711747132
1939,1,1939 Q1,all,negative,Hodrick-Prescott filter,100.77106355319613
1939,2,1939 Q2,all,negative,Hodrick-Prescott filter,100.39159569493823
1939,3,1939 Q3,all,negative,Hodrick-Prescott filter,100.25305004614316
1939,4,1939 Q4,all,negative,Hodrick-Prescott filter,100.24323913715199
1940,1,1940 Q1,all,negative,Hodrick-Prescott filter,100.63893546696215
1940,2,1940 Q2,all,negative,Hodrick-Prescott filter,99.77032444637803
1940,3,1940 Q3,all,negative,Hodrick-Prescott filter,99.87075186983445
1940,4,1940 Q4,all,negative,Hodrick-Prescott filter,99.35993577062172
1941,1,1941 Q1,all,negative,Hodrick-Prescott filter,99.97830778896763
1941,2,1941 Q2,all,negative,Hodrick-Prescott filter,99.5360543676359
1941,3,1941 Q3,all,negative,Hodrick-Prescott filter,99.72284221273938
1941,4,1941 Q4,all,negative,Hodrick-Prescott filter,99.89641268356701
1942,1,1942 Q1,all,negative,Hodrick-Prescott filter,100.88153487557997
1942,2,1942 Q2,all,negative,Hodrick-Prescott filter,100.69544094501704
1942,3,1942 Q3,all,negative,Hodrick-Prescott filter,100.70040633065602
1942,4,1942 Q4,all,negative,Hodrick-Prescott filter,99.9729632054107
1943,1,1943 Q1,all,negative,Hodrick-Prescott filter,101.01742301758347
1943,2,1943 Q2,all,negative,Hodrick-Prescott filter,100.3413151881752
1943,3,1943 Q3,all,negative,Hodrick-Prescott filter,100.5262290582534
1943,4,1943 Q4,all,negative,Hodrick-Prescott filter,100.46563828817321
1944,1,1944 Q1,all,negative,Hodrick-Prescott filter,100.90561967369031
1944,2,1944 Q2,all,negative,Hodrick-Prescott filter,100.05404907312145
1944,3,1944 Q3,all,negative,Hodrick-Prescott filter,100.36491180772884
1944,4,1944 Q4,all,negative,Hodrick-Prescott filter,100.95003480119748
1945,1,1945 Q1,all,negative,Hodrick-Prescott filter,100.32150482999668
1945,2,1945 Q2,all,negative,Hodrick-Prescott filter,101.07873303794355
1945,3,1945 Q3,all,negative,Hodrick-Prescott filter,100.04946792570748
1945,4,1945 Q4,all,negative,Hodrick-Prescott filter,100.06637319091466
1946,1,1946 Q1,all,negative,Hodrick-Prescott filter,100.50319098770066
1946,2,1946 Q2,all,negative,Hodrick-Prescott filter,100.5767767661866
1946,3,1946 Q3,all,negative,Hodrick-Prescott filter,100.14594549758397
1946,4,1946 Q4,all,negative,Hodrick-Prescott filter,100.30384377298921
1947,1,1947 Q1,all,negative,Hodrick-Prescott filter,100.84716558303215
1947,2,1947 Q2,all,negative,Hodrick-Prescott filter,101.08296282719445
1947,3,1947 Q3,all,negative,Hodrick-Prescott filter,100.63754978800829
1947,4,1947 Q4,all,negative,Hodrick-Prescott filter,100.49480432107782
1948,1,1948 Q1,all,negative,Hodrick-Prescott filter,100.87236667098357
1948,2,1948 Q2,all,negative,Hodrick-Prescott filter,99.65391772778678
1948,3,1948 Q3,all,negative,Hodrick-Prescott filter,99.69615648601814
1948,4,1948 Q4,all,negative,Hodrick-Prescott filter,99.79243833341206
1949,1,1949 Q1,all,negative,Hodrick-Prescott filter,100.14115198243172
1949,2,1949 Q2,all,negative,Hodrick-Prescott filter,100.21961238728443
1949,3,1949 Q3,all,negative,Hodrick-Prescott filter,100.36475866476857
1949,4,1949 Q4,all,negative,Hodrick-Prescott filter,99.61153149084562
1950,1,1950 Q1,all,negative,Hodrick-Prescott filter,99.949122413139
1950,2,1950 Q2,all,negative,Hodrick-Prescott filter,99.79930733187834
1950,3,1950 Q3,all,negative,Hodrick-Prescott filter,99.41262405486093
1950,4,1950 Q4,all,negative,Hodrick-Prescott filter,99.56563530661451
1951,1,1951 Q1,all,negative,Hodrick-Prescott filter,99.89220141035821
1951,2,1951 Q2,all,negative,Hodrick-Prescott filter,99.55082025242865
1951,3,1951 Q3,all,negative,Hodrick-Prescott filter,99.26923648447024
1951,4,1951 Q4,all,negative,Hodrick-Prescott filter,99.07640402360327
1952,1,1952 Q1,all,negative,Hodrick-Prescott filter,99.98273987531448
1952,2,1952 Q2,all,negative,Hodrick-Prescott filter,99.50239377218811
1952,3,1952 Q3,all,negative,Hodrick-Prescott filter,99.7088813621885
1952,4,1952 Q4,all,negative,Hodrick-Prescott filter,99.21023120619606
1953,1,1953 Q1,all,negative,Hodrick-Prescott filter,99.23609154752927
1953,2,1953 Q2,all,negative,Hodrick-Prescott filter,99.75962069221713
1953,3,1953 Q3,all,negative,Hodrick-Prescott filter,99.40644199536578
1953,4,1953 Q4,all,negative,Hodrick-Prescott filter,98.95798392753143
1954,1,1954 Q1,all,negative,Hodrick-Prescott filter,99.63137430809195
1954,2,1954 Q2,all,negative,Hodrick-Prescott filter,99.09128776639947
1954,3,1954 Q3,all,negative,Hodrick-Prescott filter,99.16680510939942
1954,4,1954 Q4,all,negative,Hodrick-Prescott filter,98.93654230225556
1955,1,1955 Q1,all,negative,Hodrick-Prescott filter,99.34624871553503
1955,2,1955 Q2,all,negative,Hodrick-Prescott filter,98.79327470720104
1955,3,1955 Q3,all,negative,Hodrick-Prescott filter,99.21862459807224
1955,4,1955 Q4,all,negative,Hodrick-Prescott filter,98.8403065356921
1956,1,1956 Q1,all,negative,Hodrick-Prescott filter,99.04382030905738
1956,2,1956 Q2,all,negative,Hodrick-Prescott filter,98.80130364765535
1956,3,1956 Q3,all,negative,Hodrick-Prescott filter,98.82232284920377
1956,4,1956 Q4,all,negative,Hodrick-Prescott filter,98.59581279206155
1957,1,1957 Q1,all,negative,Hodrick-Prescott filter,99.18395669740187
1957,2,1957 Q2,all,negative,Hodrick-Prescott filter,99.1165233796334
1957,3,1957 Q3,all,negative,Hodrick-Prescott filter,98.96441833485373
1957,4,1957 Q4,all,negative,Hodrick-Prescott filter,99.30804974689256
1958,1,1958 Q1,all,negative,Hodrick-Prescott filter,99.58986475851209
1958,2,1958 Q2,all,negative,Hodrick-Prescott filter,99.21790493061518
1958,3,1958 Q3,all,negative,Hodrick-Prescott filter,99.1267250020547
1958,4,1958 Q4,all,negative,Hodrick-Prescott filter,99.10944513611702
1959,1,1959 Q1,all,negative,Hodrick-Prescott filter,99.22676081838163
1959,2,1959 Q2,all,negative,Hodrick-Prescott filter,99.33500708967622
1959,3,1959 Q3,all,negative,Hodrick-Prescott filter,99.01220650900277
1959,4,1959 Q4,all,negative,Hodrick-Prescott filter,98.92459871403834
1960,1,1960 Q1,all,negative,Hodrick-Prescott filter,98.8666180218552
1960,2,1960 Q2,all,negative,Hodrick-Prescott filter,98.58026562286587
1960,3,1960 Q3,all,negative,Hodrick-Prescott filter,98.98113624029087
1960,4,1960 Q4,all,negative,Hodrick-Prescott filter,99.19022906475229
1961,1,1961 Q1,all,negative,Hodrick-Prescott filter,99.204693614846
1961,2,1961 Q2,all,negative,Hodrick-Prescott filter,99.09123620352062
1961,3,1961 Q3,all,negative,Hodrick-Prescott filter,98.74131170794132
1961,4,1961 Q4,all,negative,Hodrick-Prescott filter,98.48920780456993
1962,1,1962 Q1,all,negative,Hodrick-Prescott filter,99.30636895595622
1962,2,1962 Q2,all,negative,Hodrick-Prescott filter,99.31217025194458
1962,3,1962 Q3,all,negative,Hodrick-Prescott filter,99.0565582497937
1962,4,1962 Q4,all,negative,Hodrick-Prescott filter,98.80102144550366
1963,1,1963 Q1,all,negative,Hodrick-Prescott filter,98.65101085560937
1963,2,1963 Q2,all,negative,Hodrick-Prescott filter,98.77809676677849
1963,3,1963 Q3,all,negative,Hodrick-Prescott filter,99.01073131559184
1963,4,1963 Q4,all,negative,Hodrick-Prescott filter,98.65370552173584
1964,1,1964 Q1,all,negative,Hodrick-Prescott filter,98.52849967747028
1964,2,1964 Q2,all,negative,Hodrick-Prescott filter,98.41107595873645
1964,3,1964 Q3,all,negative,Hodrick-Prescott filter,98.11486307532049
1964,4,1964 Q4,all,negative,Hodrick-Prescott filter,98.43366844056033
1965,1,1965 Q1,all,negative,Hodrick-Prescott filter,98.54100547834834
1965,2,1965 Q2,all,negative,Hodrick-Prescott filter,98.3430325052756
1965,3,1965 Q3,all,negative,Hodrick-Prescott filter,98.19792590127052
1965,4,1965 Q4,all,negative,Hodrick-Prescott filter,98.39782424813649
1966,1,1966 Q1,all,negative,Hodrick-Prescott filter,98.6819972266119
1966,2,1966 Q2,all,negative,Hodrick-Prescott filter,98.69579969866305
1966,3,1966 Q3,all,negative,Hodrick-Prescott filter,99.51167326921
1966,4,1966 Q4,all,negative,Hodrick-Prescott filter,99.06426030644057
1967,1,1967 Q1,all,negative,Hodrick-Prescott filter,99.73085981350194
1967,2,1967 Q2,all,negative,Hodrick-Prescott filter,99.67750497720982
1967,3,1967 Q3,all,negative,Hodrick-Prescott filter,99.21513531624802
1967,4,1967 Q4,all,negative,Hodrick-Prescott filter,99.59791108967354
1968,1,1968 Q1,all,negative,Hodrick-Prescott filter,99.71537031997578
1968,2,1968 Q2,all,negative,Hodrick-Prescott filter,99.24047159394807
1968,3,1968 Q3,all,negative,Hodrick-Prescott filter,98.77084316130345
1968,4,1968 Q4,all,negative,Hodrick-Prescott filter,99.0821410748645
1969,1,1969 Q1,all,negative,Hodrick-Prescott filter,99.53468504784554
1969,2,1969 Q2,all,negative,Hodrick-Prescott filter,99.14595229696815
1969,3,1969 Q3,all,negative,Hodrick-Prescott filter,99.53379943409256
1969,4,1969 Q4,all,negative,Hodrick-Prescott filter,99.4645393064177
1970,1,1970 Q1,all,negative,Hodrick-Prescott filter,100.23620959150196
1970,2,1970 Q2,all,negative,Hodrick-Prescott filter,100.07766703911756
1970,3,1970 Q3,all,negative,Hodrick-Prescott filter,99.85554709378066
1970,4,1970 Q4,all,negative,Hodrick-Prescott filter,100.01237683469945
1971,1,1971 Q1,all,negative,Hodrick-Prescott filter,100.35418098069368
1971,2,1971 Q2,all,negative,Hodrick-Prescott filter,99.99429781514493
1971,3,1971 Q3,all,negative,Hodrick-Prescott filter,100.41993595974091
1971,4,1971 Q4,all,negative,Hodrick-Prescott filter,99.6314239527623
1972,1,1972 Q1,all,negative,Hodrick-Prescott filter,99.72541157592984
1972,2,1972 Q2,all,negative,Hodrick-Prescott filter,99.5193775517197
1972,3,1972 Q3,all,negative,Hodrick-Prescott filter,99.18649871046115
1972,4,1972 Q4,all,negative,Hodrick-Prescott filter,98.96616543068838
1973,1,1973 Q1,all,negative,Hodrick-Prescott filter,100.09471013934682
1973,2,1973 Q2,all,negative,Hodrick-Prescott filter,99.84246351075726
1973,3,1973 Q3,all,negative,Hodrick-Prescott filter,99.6848063126449
1973,4,1973 Q4,all,negative,Hodrick-Prescott filter,100.37882781257022
1974,1,1974 Q1,all,negative,Hodrick-Prescott filter,100.38159067115838
1974,2,1974 Q2,all,negative,Hodrick-Prescott filter,100.01746534851156
1974,3,1974 Q3,all,negative,Hodrick-Prescott filter,100.96348217115235
1974,4,1974 Q4,all,negative,Hodrick-Prescott filter,101.89406446891776
1975,1,1975 Q1,all,negative,Hodrick-Prescott filter,101.74624212863863
1975,2,1975 Q2,all,negative,Hodrick-Prescott filter,100.44602358447773
1975,3,1975 Q3,all,negative,Hodrick-Prescott filter,100.19966681059944
1975,4,1975 Q4,all,negative,Hodrick-Prescott filter,100.24843340470441
1976,1,1976 Q1,all,negative,Hodrick-Prescott filter,99.682811509322
1976,2,1976 Q2,all,negative,Hodrick-Prescott filter,99.38647725774237
1976,3,1976 Q3,all,negative,Hodrick-Prescott filter,99.25092864314426
1976,4,1976 Q4,all,negative,Hodrick-Prescott filter,99.96359698469695
1977,1,1977 Q1,all,negative,Hodrick-Prescott filter,100.09897820914014
1977,2,1977 Q2,all,negative,Hodrick-Prescott filter,99.33431246598639
1977,3,1977 Q3,all,negative,Hodrick-Prescott filter,99.44944923302673
1977,4,1977 Q4,all,negative,Hodrick-Prescott filter,99.72315578978687
1978,1,1978 Q1,all,negative,Hodrick-Prescott filter,100.56806126716262
1978,2,1978 Q2,all,negative,Hodrick-Prescott filter,99.83446245958976
1978,3,1978 Q3,all,negative,Hodrick-Prescott filter,99.89098777502487
1978,4,1978 Q4,all,negative,Hodrick-Prescott filter,99.70256131866176
1979,1,1979 Q1,all,negative,Hodrick-Prescott filter,99.58249569029665
1979,2,1979 Q2,all,negative,Hodrick-Prescott filter,99.7419681441897
1979,3,1979 Q3,all,negative,Hodrick-Prescott filter,99.79314944684351
1979,4,1979 Q4,all,negative,Hodrick-Prescott filter,100.10595476688114
1980,1,1980 Q1,all,negative,Hodrick-Prescott filter,100.6668729110733
1980,2,1980 Q2,all,negative,Hodrick-Prescott filter,101.07727315061797
1980,3,1980 Q3,all,negative,Hodrick-Prescott filter,99.87365208688848
